comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T+C - lgbm S+T,roc_auc,26,0.8387632405763766,0.8087353218158029,0.030027918760573757
lgbm S+T+C - lgbm S+T,roc_auc,27,0.8789371647304658,0.8652012372727211,0.013735927457744657
lgbm S+T+C - lgbm S+T,roc_auc,28,0.8988903335500326,0.8746667000050008,0.024223633545031764
lgbm S+T+C - lgbm S+T,roc_auc,29,0.9294585455282328,0.9088385232830399,0.02062002224519288
lgbm S+T+C - lgbm S+T,roc_auc,30,0.9067809746682267,0.8943379608001131,0.01244301386811364
lgbm S+T+C - lgbm S+T,roc_auc,31,0.8190269491771225,0.8612672867520272,-0.04224033757490475
lgbm S+T+C - lgbm S+T,roc_auc,32,0.8135373384334609,0.7802485062126553,0.033288832220805586
lgbm S+T+C - lgbm S+T,roc_auc,33,0.8411748969958799,0.7413384035361414,0.09983649345973844
lgbm S+T+C - lgbm S+T,roc_auc,34,0.9069162440297853,0.911728781446616,-0.004812537416830631
lgbm S+T+C - lgbm S+T,roc_auc,35,0.6896804800660473,0.768768483470645,-0.07908800340459765
lgbm S+T+C - lgbm S+T,roc_auc,36,0.8190061454916393,0.8256141741339307,-0.006608028642291375
lgbm S+T+C - lgbm S+T,roc_auc,37,0.9162619065476637,0.8971124278106952,0.019149478736968484
lgbm S+T+C - lgbm S+T,roc_auc,38,0.9047532376618831,0.8503470173508675,0.05440622031101561
lgbm S+T+C - lgbm S+T,roc_auc,39,0.9662041713337066,0.9501538248059844,0.016050346527722192
lgbm S+T+C - lgbm S+T,roc_auc,40,0.9594217217979594,0.9556913754005338,0.0037303463974255324
lgbm S+T+C - lgbm S+T,roc_auc,41,0.9782623392371377,0.9664717212960826,0.01179061794105507
lgbm S+T+C - lgbm S+T,roc_auc,42,0.9629140267651523,0.9529255149797828,0.009988511785369414
lgbm S+T+C - lgbm S+T,roc_auc,43,0.9070455254299266,0.9049345804220457,0.0021109450078808933
lgbm S+T+C - lgbm S+T,roc_auc,44,0.9138167052103321,0.862750877489114,0.05106582772121804
lgbm S+T+C - lgbm S+T,roc_auc,45,0.9503484923306759,0.9175024938357881,0.032845998494887785
lgbm S+T+C - lgbm S+T,roc_auc,46,0.8111915287436879,0.8993723830574873,-0.0881808543137994
lgbm S+T+C - lgbm S+T,roc_auc,47,0.9768405541998373,0.9735151551519515,0.0033253990478857576
lgbm S+T+C - lgbm S+T,roc_auc,48,0.9537876638926522,0.9477204243668186,0.0060672395258336564
lgbm S+T+C - lgbm S+T,roc_auc,49,0.9217070117506453,0.9084637100305485,0.0132433017200968
lgbm S+T+C - lgbm S+T,pr_auc,25,0.006367439046769105,0.008829213324036734,-0.002461774277267629
lgbm S+T+C - lgbm S+T,pr_auc,26,0.0016142890801639112,0.0016685248136633919,-5.423573349948069e-05
