fold_k,model,feature_set,n_train_pairs,n_train_pos,n_test_pairs,n_test_pos,fit_seconds,roc_auc,pr_auc,p@50,p@100
36,issuer_risk_only,heuristic,3144135,348,200000,16,0.08821296691894531,0.7905552756720537,0.0005914187265817331,0.0,0.0
36,structural_heuristic,heuristic,3144135,348,200000,16,0.11506009101867676,0.6978781740039204,0.00038621858648203716,0.0,0.0
36,lgbm,S,3144135,348,200000,16,1.4899818897247314,0.7752904607368589,0.001479900512576034,0.0,0.0
36,lgbm,S+T,3144135,348,200000,16,1.833739995956421,0.8256141741339307,0.01282834470826337,0.02,0.02
36,lgbm,S+T+C,3144135,348,200000,16,1.9185140132904053,0.8190061454916393,0.015451575973019016,0.04,0.02
37,recency_only,heuristic,3344135,357,200000,5,0.13246512413024902,0.8397269931748294,0.007261883090622699,0.02,0.01
37,victim_risk_only,heuristic,3344135,357,200000,5,0.0875709056854248,0.635638390959774,0.00018003240598043102,0.0,0.0
37,issuer_risk_only,heuristic,3344135,357,200000,5,0.08932209014892578,0.873758343958599,0.00025920356446954186,0.0,0.0
37,structural_heuristic,heuristic,3344135,357,200000,5,0.11428308486938477,0.8471556788919723,0.00015275901964255162,0.0,0.0
37,lgbm,S,3344135,357,200000,5,1.4497239589691162,0.9507207680192005,0.0020171344299673745,0.0,0.0
37,lgbm,S+T,3344135,357,200000,5,1.7389609813690186,0.8971124278106952,0.00318756599912051,0.0,0.01
37,lgbm,S+T+C,3344135,357,200000,5,1.6031692028045654,0.9162619065476637,0.007714032176370228,0.02,0.01
38,recency_only,heuristic,3544135,373,200000,10,0.13098692893981934,0.7759830491524576,0.00023022725132160212,0.0,0.0
38,victim_risk_only,heuristic,3544135,373,200000,10,0.08769893646240234,0.6274003700185009,9.195237201623936e-05,0.0,0.0
38,issuer_risk_only,heuristic,3544135,373,200000,10,0.09022808074951172,0.45423821191059555,0.00019713854585938061,0.0,0.0
38,structural_heuristic,heuristic,3544135,373,200000,10,0.11637496948242188,0.656876343817191,0.00010360840771902913,0.0,0.0
38,lgbm,S,3544135,373,200000,10,1.6232130527496338,0.7696037301865094,0.0002629745388576876,0.0,0.0
38,lgbm,S+T,3544135,373,200000,10,1.8458850383758545,0.8503470173508675,0.0003373298375869345,0.0,0.0
38,lgbm,S+T+C,3544135,373,200000,10,1.680710792541504,0.9047532376618831,0.000672743449768385,0.0,0.0
39,recency_only,heuristic,3744135,378,200000,16,0.12863492965698242,0.9029597367789424,0.03996502488487718,0.04,0.02
39,victim_risk_only,heuristic,3744135,378,200000,16,0.08409810066223145,0.6789982261080887,0.00022173862665361753,0.0,0.0
39,issuer_risk_only,heuristic,3744135,378,200000,16,0.09299683570861816,0.8773236233898711,0.0011651417317628265,0.0,0.0
39,structural_heuristic,heuristic,3744135,378,200000,16,0.11462879180908203,0.7672096580226418,0.05791118359867623,0.06,0.03
39,lgbm,S,3744135,378,200000,16,1.434805154800415,0.9675233393671494,0.007494321644717678,0.02,0.01
39,lgbm,S+T,3744135,378,200000,16,1.752814769744873,0.9501538248059844,0.05633313061123951,0.04,0.05
39,lgbm,S+T+C,3744135,378,200000,16,1.68107008934021,0.9662041713337066,0.014700309880572564,0.02,0.01
40,recency_only,heuristic,3944135,388,194348,24,0.13104915618896484,0.9316622410681816,0.029131379618776182,0.02,0.03
40,victim_risk_only,heuristic,3944135,388,194348,24,0.0873870849609375,0.8769099330671113,0.0012811868091102397,0.0,0.0
40,issuer_risk_only,heuristic,3944135,388,194348,24,0.08498716354370117,0.7352987150326258,0.0019452555173826989,0.0,0.0
40,structural_heuristic,heuristic,3944135,388,194348,24,0.11092400550842285,0.7332952954858896,0.019769749074304156,0.04,0.04
40,lgbm,S,3944135,388,194348,24,1.6773381233215332,0.8851124067708225,0.00554187425120026,0.0,0.01
40,lgbm,S+T,3944135,388,194348,24,1.8973639011383057,0.9556913754005338,0.00893173277958699,0.02,0.02
40,lgbm,S+T+C,3944135,388,194348,24,1.6207809448242188,0.9594217217979594,0.01480881182154797,0.02,0.03
41,recency_only,heuristic,4144135,404,186397,20,0.12514710426330566,0.9232595760206463,0.0035620212054674858,0.0,0.0
41,victim_risk_only,heuristic,4144135,404,186397,20,0.08176493644714355,0.6406851435531209,0.00030402169278463567,0.0,0.0
41,issuer_risk_only,heuristic,4144135,404,186397,20,0.08196377754211426,0.8077439812852445,0.0012845863635479536,0.0,0.0
41,structural_heuristic,heuristic,4144135,404,186397,20,0.10846900939941406,0.7279789083416945,0.00025829648054739423,0.0,0.0
41,lgbm,S,4144135,404,186397,20,1.321512222290039,0.9230511275532925,0.0022727231452290457,0.0,0.0
41,lgbm,S+T,4144135,404,186397,20,1.7393701076507568,0.9664717212960826,0.005508448858436616,0.02,0.01
41,lgbm,S+T+C,4144135,404,186397,20,1.5505759716033936,0.9782623392371377,0.007625475630966249,0.02,0.01
